id,route,latitude,longitude
70,2,2.990509737,101.7104568
71,2,2.990507255,101.7107351
72,2,2.990494674,101.7109699
73,2,2.990499809,101.7114782
74,2,2.990591638,101.7117963
75,2,2.991688617,101.7128898
76,2,2.991859864,101.7131284
77,2,2.99193432,101.7133993
78,2,2.991951693,101.714535
79,2,2.991991402,101.7148954
80,2,2.992031112,101.7157876
81,2,2.992043521,101.7176043
82,2,2.992080749,101.7177062
83,2,2.992085713,101.7179547
84,2,2.992197396,101.718074
85,2,2.993125608,101.7184692
86,2,2.996440013,101.7205277
87,2,2.997567247,101.7210578
88,2,2.999086804,101.7215621
89,2,2.999764092,101.7216751
90,2,3.000510844,101.7216229
91,2,3.001273069,101.7214649
92,2,3.001164658,101.7207028
93,2,3.00118634,101.7205508
94,2,3.000880622,101.7191808
95,2,3.000819912,101.7190614
96,2,3.000341064,101.7164548
97,2,2.999835079,101.7136022
98,2,2.999688985,101.7133166
99,2,2.999639526,101.7132315
100,2,2.999633329,101.7131425
101,2,2.999699033,101.7130706
102,2,2.999772467,101.7130519
103,2,3.00002037,101.7110625
104,2,3.000118556,101.7101419
105,2,3.00015426,101.7095162
106,2,3.000186989,101.7069688
107,2,3.000612462,101.7069866
108,2,3.002353035,101.7069866
109,2,3.00342118,101.7070552
110,2,3.004233445,101.7069211
111,2,3.004177404,101.70863
112,2,3.004187023,101.7093114
113,2,3.004107556,101.7094706
114,2,3.003935378,101.7095944
115,2,3.003674904,101.7096695
116,2,3.003389538,101.7096764
117,2,3.001899531,101.7096542
118,2,2.998896977,101.7095432
119,2,2.998580655,101.7095006
120,2,2.996232692,101.7090012
121,2,2.995365191,101.7087672
122,2,2.995054724,101.7083906
123,2,2.995023556,101.7076155
124,2,2.99502875,101.7074491
125,2,2.994794993,101.7072826
126,2,2.993454643,101.7072405
127,2,2.992193016,101.7075412
128,2,2.992006942,101.7075644
129,2,2.991754412,101.707601
130,2,2.991621393,101.7076052
131,3,3.009353887,101.7200921
132,3,3.010115773,101.7193014
133,3,3.010002301,101.7191854
134,3,3.00930294,101.7186358
135,3,3.008862944,101.7183831
136,3,3.008388211,101.7193501
137,3,3.008170529,101.7199182
138,3,3.008089769,101.7200639
139,3,3.00692841,101.7197508
140,3,3.004157289,101.7186969
141,3,3.003642343,101.7185246
142,3,3.00353855,101.7184991
143,3,3.003490336,101.7185319
